  Text file showing TNI GMX-PC Experimental data. 
  Experiment Name:  Plotting a Geiger Plateau   


   #       Counts  

   1,          0  
   2,          0  
   3,          0  
   4,          0  
   5,          0  
   6,         26  
   7,        214  
   8,        208  
   9,        228  
  10,        204  
  11,        260  
  12,        224  
  13,        224  
  14,        220  
  15,        238  
  16,        225  
  17,        216  
  18,        244  
  19,        242  
  20,        252  
  21,        253  
  22,        254  
  23,        252  
  24,        278  
  25,        265  
