  Text file showing TNI GMX-PC Experimental data. 
  Experiment Name:  Statistics of Counting   


  Average Count =         334
  Standard Deviation =     18

   #       Counts    (n - avg)/sigma 

   1,        324       -0.6  
   2,        360        1.4  
   3,        358        1.3  
   4,        336        0.1  
   5,        331       -0.2  
   6,        337        0.2  
   7,        328       -0.3  
   8,        317       -0.9  
   9,        313       -1.2  
  10,        332       -0.1  
