  Text file showing TNI GMX-PC Experimental data. 
  Experiment Name:  Statistics of Counting   


  Average Count =         133
  Standard Deviation =     12

   #       Counts    (n - avg)/sigma 

   1,        126       -0.6  
   2,        130       -0.2  
   3,        132       -0.1  
   4,        157        2.0  
   5,        133        0.0  
   6,        121       -1.0  
   7,        130       -0.2  
   8,        131       -0.2  
   9,        131       -0.2  
  10,        135        0.2  
